"exptDate","cellLine","Well","Cell.Nucleus","conc","resp.ratio"
"2012-03-20","DS1","D09",31850,2e-12,1.02493141648096
"2012-03-20","DS1","D10",35697,2e-13,1.14872768521573
"2012-03-20","DS1","D11",33910,0,1.09122211406183
"2012-03-20","DS2","E03",22967,2e-06,0.519835903239496
"2012-03-20","DS2","E04",22252,2e-07,0.503652567548451
"2012-03-20","DS2","E05",47137,2e-08,1.06690055170463
"2012-03-20","DS2","E06",47975,2e-09,1.08586787381525
"2012-03-20","DS2","E07",44208,2e-10,1.00060546046117
"2012-03-20","DS2","E08",46256,2e-11,1.04695996604895
"2012-03-20","DS2","E09",41806,2e-12,0.946238506153628
"2012-03-20","DS2","E10",44948,2e-13,1.0173546470505
"2012-03-20","DS2","E11",45489,0,1.02959966048946
"2012-03-20","DS2","F03",20654,2e-06,0.467483378129863
"2012-03-20","DS2","F04",22292,2e-07,0.504557928985712
"2012-03-20","DS2","F05",42620,2e-08,0.964662611401896
"2012-03-20","DS2","F06",49211,2e-09,1.11384354222662
"2012-03-20","DS2","F07",47893,2e-10,1.08401188286886
"2012-03-20","DS2","F08",44049,2e-11,0.997006648748055
"2012-03-20","DS2","F09",42565,2e-12,0.963417739425661
"2012-03-20","DS2","F10",44183,2e-13,1.00003960956288
"2012-03-20","DS2","F11",45268,0,1.02459753854859
"2012-03-20","DS2","G03",21389,2e-06,0.484119394539539
"2012-03-20","DS2","G04",20467,2e-07,0.463250813410666
"2012-03-20","DS2","G05",40040,2e-08,0.906266798698543
"2012-03-20","DS2","G06",43369,2e-09,0.981615504314613
"2012-03-20","DS2","G07",43012,2e-10,0.973535153487056
"2012-03-20","DS2","G08",42595,2e-11,0.964096760503607
"2012-03-20","DS2","G09",43698,2e-12,0.989062102136087
"2012-03-20","DS2","G10",42369,2e-13,0.958981468383081
"2012-03-20","DS2","G11",45405,0,1.02769840147121
"2012-03-20","DS2","H03",13857,2e-06,0.31363983590324
"2012-03-20","DS2","H04",16768,2e-07,0.379527514499929
"2012-03-20","DS2","H05",33383,2e-08,0.755592021502334
"2012-03-20","DS2","H06",40962,2e-09,0.927135379827415
"2012-03-20","DS2","H07",39008,2e-10,0.882908473617202
"2012-03-20","DS2","H08",38843,2e-11,0.879173857688499
"2012-03-20","DS2","H09",38885,2e-12,0.880124487197623
"2012-03-20","DS2","H10",40468,2e-13,0.915954166077239
"2012-03-20","DS2","H11",40563,0,0.918104399490734
"2012-03-20","DS3","A03",11334,2e-06,0.403729529000027
"2012-03-20","DS3","A04",10183,2e-07,0.362729644768596
"2012-03-20","DS3","A05",17317,2e-08,0.616850560587036
"2012-03-20","DS3","A06",21214,2e-09,0.755665980960523
"2012-03-20","DS3","A07",19908,2e-10,0.709144826480725
"2012-03-20","DS3","A08",22288,2e-11,0.793923040616957
"2012-03-20","DS3","A09",23366,2e-12,0.832322584666898
"2012-03-20","DS3","A10",20751,2e-13,0.739173412412172
"2012-03-20","DS3","A11",19301,0,0.687522819766147
"2012-03-20","DS3","B03",13963,2e-06,0.497377396632025
"2012-03-20","DS3","B04",15462,2e-07,0.550773423098501
"2012-03-20","DS3","B05",26972,2e-08,0.960772265412804
"2012-03-20","DS3","B06",30001,2e-09,1.06866857239543
"2012-03-20","DS3","B07",29999,2e-10,1.06859733019868
"2012-03-20","DS3","B08",30998,2e-11,1.10418280747687
"2012-03-20","DS3","B09",29447,2e-12,1.04893448389481
"2012-03-20","DS3","B10",28057,2e-13,0.999421157151381
"2012-03-20","DS3","B11",28979,0,1.03226380985458
"2012-03-20","DS3","C03",17823,2e-06,0.634874836365579
"2012-03-20","DS3","C04",16674,2e-07,0.593946194330902
"2012-03-20","DS3","C05",30585,2e-08,1.08947129384735
"2012-03-20","DS3","C06",33191,2e-09,1.18229987621668
"2012-03-20","DS3","C07",34275,2e-10,1.22091314685688
"2012-03-20","DS3","C08",33222,2e-11,1.18340413026636
"2012-03-20","DS3","C09",32680,2e-12,1.16409749494626
"2012-03-20","DS3","C10",34062,2e-13,1.21332585290267
"2012-03-20","DS3","C11",31905,0,1.13649114370442
